“Good Fighters” and “Great Negotiators”: Donald Trump Is Weirdly Full of Praise for the Taliban, 3 hours ago, In April 2020, as the coronavirus was engulfing the U.S., then president Donald Trump declared at his then daily coronavirus briefing,..., https://www.vanityfair.com/news/2021/08/donald-trump-taliban-good-fighters-great-negotiators  
Kushner pal hit with state charges months after Trump pardon, 2 hours ago, NEW YORK (AP) — A newspaper editor friend of former President Donald Trump's son-in-law Jared Kushner was hit Wednesday with state..., https://www.politico.com/news/2021/08/18/kurson-state-charges-506050  
Fox host Maria Bartiromo goads Trump into bashing coronavirus ..., 5 hours ago, It's also the day in which a Fox Business Network host tried hard to goad former president Donald Trump into questioning that effort — and..., https://www.washingtonpost.com/politics/2021/08/18/trump-went-fox-promoted-vaccines-then-host-goaded-him-into-bashing-boosters/  
Democrats plan to greet Trump with ‘Welcome to Alabama Liar’ billboards, 11 hours ago, A top official with the Alabama Democratic Party says former President Trump's rally in Cullman on Saturday night is a bad idea because of..., https://www.al.com/news/2021/08/democrats-plan-to-greet-trump-with-welcome-to-alabama-liar-billboards.html  
Ex-defense secretary: Trump's push to get US troops out of Afghanistan possibly 'undermined' deal with Taliban, 12 hours ago, Former Defense Secretary Mark Esper said Tuesday that he was concerned that then-President Donald Trump “undermined” the US'$2 2020..., https://www.cnn.com/2021/08/17/politics/mark-esper-donald-trump-taliban-afghanistan-cnntv/index.html  
Does Trump’s endorsement really carry the day in local elections?, 1 day ago, Analysis: Trump thought he'd use the midterm primaries to punish his enemies and tighten his grip on the party. It's not working out quite..., https://www.theguardian.com/us-news/2021/aug/17/donald-trump-influence-local-midterm-elections  
Jeffrey Toobin under fire for column urging Trump escape prosecution, 2 hours ago, CNN's Jeffrey Toobin has been slammed for writing an opinion column arguing that former president Donald Trump should not face criminal..., https://www.independent.co.uk/news/world/americas/us-politics/cnn-jeffrey-toobin-column-trump-b1904895.html  
Analysis | Trump allies push anti-refugee message — while Trump ..., 5 hours ago, former Trump adviser Steve Cortes tweeted Tuesday night alongside a picture of Afghan evacuees departing Kabul on a U.S. military aircraft., https://www.washingtonpost.com/politics/2021/08/18/trump-allies-push-anti-refugee-message-while-trump-himself-undercuts-them/  
Regrets: Trump would beat Biden today more women and blacks support, 8 hours ago, By a six-point margin 43%-37% likely voters would pick Trump over Biden “if the next presidential election were held today.” The details of..., https://news.yahoo.com/regrets-trump-beat-biden-today-141100643.html  
Trump judge orders Biden to reinstate Trump’s ‘Remain in Mexico’ immigration policy, 1 day ago, Option two is the one implemented by Trump's Remain in Mexico policy. When an asylum seeker arrives by land from Mexico the government may “..., https://www.vox.com/2021/8/17/22627107/trump-judge-remain-in-mexico-matthew-kacsmaryk-immigration-asylum-joe-biden-donald-trump  
Trump goes off script to attack Bush in Hannity interview, 10 hours ago, In a televised interview with Fox News host Sean Hannity Mr Trump said: “Think of it we took this horrible place it was the worst decision to..., https://www.independent.co.uk/news/world/americas/us-politics/trump-bush-sean-hannity-afghanistan-b1904408.html  
